Gene,Cell Line,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV,grRatio
AADAC,BT-549,0.0277658333333,0.0,1.2741416060600002,0.0,0.0,0.007900666666670001,0.174623266667,0.0,0.0,0.0033529000000000002,0.38631838888899994,0.0,0.0236298,0.0,0.0,0.897302896552,0.0,-2.1493908,0.0,0.38879236666699996,0.393211428571,0.0,0.0,0.0,0.0105795,0.0076170000000000005,5.09402985075e-05,0.010976761904799999,0.008529,0.0,1.02356635,0.0,0.0,1.08561725,-0.0016733333333299998,0.0017065000000000001,0.0,0.0,0.002315,6.13684210526e-05,-0.608979185185,0.0,7.82911392405e-05,0.0,0.0106884444444,0.0,0.006044272727270001,0.00943333333333,0.048098,0.0110752325581,0.0,0.84593156,0.00859434482759,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,3.29278174923,2.286,AV,NO,-5.56808868216,2.2179487179499997,DOWNREG,GAIN,NEUTRAL,1.0
AADAC,HS-578-T,0.02587025,0.0,1.2741755454500001,0.0,0.0,0.00840480952381,0.0878822666667,0.0,0.0,0.0025,0.370284444444,0.0,0.024940200000000003,0.0,0.0,1.07954041379,0.0,1.6732543999999998,0.0,0.7987375333329999,0.663334214286,0.0,0.0,0.0,0.0103341,0.00803925,4.96268656716e-05,0.010925238095200001,0.009418000000000001,0.0,-0.9201396000000001,0.0,0.0,0.08275725,-0.0017724,-2.0983375,0.0,0.0,0.00215042857143,-4.31578947368e-05,-0.71443,0.0,8.26582278481e-05,0.0,0.010665111111099999,0.0,0.00637954545455,0.00942819047619,0.047993,0.46935658139499997,0.0,0.84795988,-0.006044137931029999,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,3.29278174923,2.286,AV,NO,-5.56808868216,2.2179487179499997,DOWNREG,GAIN,NEUTRAL,1.0
AADAC,MCF7,0.013892833333299999,0.0,1.9104796060599998,0.0,0.0,0.0102124761905,0.653826933333,0.0,0.0,0.0025,0.45929813888899995,0.0,0.0296382,0.0,0.0,1.01786482759,0.0,1.7506297999999998,0.0,0.661012566667,0.494963035714,0.0,0.0,0.0,0.009455400000000001,0.0095535,4.49104477612e-05,0.010740761904799999,0.012605,0.0,-0.90041945,0.0,0.0,1.493962,-0.00212726666667,-0.0083381,0.0,0.0,0.00170642857143,-5.13157894737e-05,-0.777777777778,0.0,9.82278481013e-05,0.0,0.0105811111111,0.0,0.00758127272727,0.009410285714290001,0.047615,-0.0477714883721,0.0,1.68591416,0.011880931034500001,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,3.29278174923,2.286,AV,NO,-5.56808868216,2.2179487179499997,DOWNREG,GAIN,NEUTRAL,1.0
AADAC,MDA-MB-231,0.029240166666700002,0.0,1.2741751515200002,0.0,0.0,0.00846214285714,0.3258198,0.0,0.0,0.00641145,0.531533083333,0.0,0.0250892,0.0,0.0,0.8668017931029999,0.0,-2.150517,0.0,0.3208661,0.667595821429,0.0,0.0,0.0,0.0103065,0.00808725,4.94776119403e-05,0.0109194285714,0.009519,0.0,1.0024912,0.0,0.0,1.07115475,-0.0017836666666700004,-1.8087359,0.0,0.0,0.00144457142857,-4.34210526316e-05,-0.777777777778,0.0,8.3164556962e-05,0.0,0.0106624444444,0.0,0.00641763636364,0.009427619047620002,0.047981,0.0110410465116,0.0,0.84597988,-0.0103577586207,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,3.29278174923,2.286,AV,NO,-5.56808868216,2.2179487179499997,DOWNREG,GAIN,NEUTRAL,1.0
AADAC,T47D,0.01367925,0.0,1.27416278788,0.0,0.0,0.010243571428600001,0.6104086,0.0,0.0,0.0025,0.226607055556,0.0,0.0297192,0.163578689655,0.0,0.990148448276,0.0,-1.8695567,0.281071222222,0.598534166667,0.6941523214290001,0.0,0.0,0.0,0.009440100000000002,0.00957975,4.48358208955e-05,0.0107376190476,0.0126595,0.0,1.1812252,0.0,0.0,1.25028525,-0.0021333333333299997,0.0015019999999999999,0.0,0.0,0.00171114285714,-5.14210526316e-05,-0.777777777778,0.0,9.84810126582e-05,0.0,0.0,0.0,0.00760190909091,0.0094099047619,0.0,-0.0342566046512,0.0,0.84795224,0.00410493103448,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,3.29278174923,2.286,AV,NO,-5.56808868216,2.2179487179499997,DOWNREG,GAIN,NEUTRAL,1.0
AASS,BT-549,0.03029925,0.0,1.9105055151499999,0.0,0.0,0.00787373809524,0.19449233333299998,0.0,0.0,0.0049846000000000005,0.274566805556,0.0,0.025369799999999998,0.0425504137931,0.0023821578947399997,0.897297482759,0.0,-2.1517618,0.0,0.387042,0.806248785714,0.0,0.0,0.0,0.0105927,0.0075945,5.1e-05,0.017445380952400003,0.008481,0.0,1.0718742,0.0,0.0,0.48953725,-0.00166813333333,-2.0982915,0.0,0.0,0.00135642857143,-4.07894736842e-05,1.42428518519,0.0,7.81012658228e-05,0.0,0.010689777777799999,0.0,0.006026363636359999,0.00943352380952,0.048104,0.0110768604651,0.0,1.68593176,0.0829930689655,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,2.577,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL,0.997015924
AASS,HS-578-T,0.022696333333299998,0.0,1.9104999393900002,0.0,0.0,0.00837804761905,0.0906947333333,0.0,0.0,0.00498375,0.361955722222,0.0,0.0248702,0.0,0.0,1.07953510345,0.0,-2.1431592999999998,0.0,0.7986932333329999,0.6964925000000001,0.0,0.0,0.0,0.0103473,0.00801675,4.96865671642e-05,0.00235714285714,0.0093705,0.0,0.98966165,0.0,0.0,0.21435675,-0.0017670000000000001,-0.006675,0.0,0.0,0.00214442857143,-4.30526315789e-05,1.54634940741,0.0,8.24050632911e-05,0.0,0.0106664444444,0.0,0.00636154545455,0.00942857142857,0.047999,0.469358209302,0.0,1.68790796,-0.00453365517241,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,5.335,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL,0.997189181
AASS,MCF7,0.0103921666667,0.0,1.27411621212,0.0,0.0,0.0101875714286,0.558509466667,0.0,0.0,0.0025,0.477086472222,0.0,0.03133572,0.17685055172400002,0.000579631578947,1.0178599310299998,0.0,1.7547935000000001,0.0,0.660971833333,0.08203117857139999,0.0,0.0,0.0,0.009467399999999999,0.009532500000000001,4.49701492537e-05,0.0170362857143,0.012561,0.0,-0.99167785,0.0,0.0,1.94891725,-0.0021222,-0.0083157,0.0,0.0,0.00170271428571,-5.12105263158e-05,3.05178192593,0.0,9.79746835443e-05,0.0,0.010582222222200002,0.0,0.0075647272727299986,0.009410476190479999,0.047619999999999996,0.440602116279,0.0,0.84591432,0.306014413793,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,2.464,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL,0.997822946
AASS,MDA-MB-231,0.021933083333299998,0.0,1.9102949393900002,0.0,0.0,0.0084355952381,0.328865466667,0.0,0.0,0.00640445,0.302366111111,0.0,0.0250196,0.0,0.0,0.866796482759,0.0,-2.1417474,0.0,0.320812733333,0.577081857143,0.0,0.0,0.0,0.0103194,0.00806475,4.95373134328e-05,0.002357,0.009472,0.0,0.9827991,0.0,0.0,1.07115475,-0.0017784000000000003,-0.006727199999999999,0.0,0.0,0.0014405714285699999,6.49473684211e-05,3.03764192593,0.0,8.29113924051e-05,0.0,0.010663777777799999,0.0,0.00639981818182,0.009428,0.047987,0.91857527907,0.0,1.68763764,-0.00883706896552,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,5.904,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL,0.997227518
AASS,T47D,0.00592666666667,0.0,1.9102368787900001,0.0,0.0,0.0102318095238,0.6310198,0.0,0.0,0.0025,0.445982333333,0.0,0.0296884,0.163579586207,0.0,0.990146172414,0.0,-2.1138117999999997,0.0,0.5985147,0.491286357143,0.0,0.0,0.0,0.0094461,0.00957,4.48656716418e-05,0.00235252380952,0.012639,0.0,0.974176,0.0,0.0,1.6524355,-0.002131,-2.0395464,0.0,0.0,0.00255985714286,-5.13684210526e-05,3.32185433333,0.0,9.83544303797e-05,0.0,0.0,0.0,0.0075941818181800005,0.0094100952381,0.0,0.9424875813950001,0.0,1.68559388,0.13166472413799998,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,3.611,CA,CA,-1.96966238088,0.974576271186,NEUTRAL,NEUT,NEUTRAL,0.998961311
ABAT,BT-549,0.028450833333299997,0.0,1.2741416060600002,0.0,0.0,0.007900666666670001,0.174623266667,0.0,0.0,0.0012639,0.3341445,0.0,0.0236298,0.0,0.0,0.897302896552,0.0,-1.9862196,0.182214666667,0.38879236666699996,0.5485051071429999,0.0,0.0,0.0,0.0105795,0.0076170000000000005,5.09402985075e-05,0.010976761904799999,0.008529,0.0,1.10556295,0.0,0.0,1.08561725,-0.0016733333333299998,-0.0062421,0.0,0.0,0.002315,6.13684210526e-05,3.11886440741,0.0,7.82911392405e-05,0.0,0.0106884444444,0.0,0.006044272727270001,0.00943333333333,0.048098,0.9498634651160001,0.0,0.84791256,0.09310151724139999,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,3.29278174923,2.322,AW,CA,0.8086613114300001,3.38028169014,NEUTRAL,GAIN,NEUTRAL,1.0
ABAT,HS-578-T,0.02587025,0.0,1.2741360000000002,0.0,0.0,0.00840480952381,0.0966921333333,0.0,0.0,0.0025,0.3705636111110001,0.0,0.024940200000000003,0.0,0.0,1.07988524138,0.0,-2.1469707000000002,0.0,0.7987375333329999,0.711138464286,0.0,0.0,0.0,0.0103341,0.00803925,4.96268656716e-05,0.010925238095200001,0.009418000000000001,0.0,0.98997295,0.0,0.0,0.08275725,-0.0017724,-2.0983375,0.0,0.0,0.00215042857143,-4.31578947368e-05,3.12488411111,0.0,8.26582278481e-05,0.0,0.010665111111099999,0.0,0.00637954545455,0.00942819047619,0.047993,-0.0190155116279,0.0,0.84592772,0.09731234482760001,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,3.29278174923,2.84,AW,CA,0.8086613114300001,3.38028169014,NEUTRAL,GAIN,NEUTRAL,1.0
ABAT,MCF7,0.013892833333299999,0.0,1.9104796363599998,0.0,0.0,0.0102124761905,0.653826933333,0.0,0.0,0.0025,0.339928166667,0.0,0.0296382,0.142484482759,0.0,1.01752,0.0,1.9024951,0.168739222222,0.661012566667,0.744830928571,0.0,0.0,0.0,0.009455400000000001,0.0095535,4.49104477612e-05,0.010740761904799999,0.012605,0.0,-0.8244868000000001,0.0,0.0,1.03559425,-0.00212726666667,-2.0984955000000003,0.0,0.0,0.00170642857143,-5.13157894737e-05,-0.020317740740700002,0.0,9.82278481013e-05,0.0,0.0105811111111,0.0,0.00758127272727,0.009410285714290001,0.047615,0.384263,0.0,1.68789032,0.011880896551700002,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,3.29278174923,8.469,AW,CA,0.8086613114300001,3.38028169014,NEUTRAL,GAIN,NEUTRAL,1.0
ABAT,MDA-MB-231,0.0300334166667,0.0,1.9102940606099998,0.0,0.0,0.00846214285714,0.3258198,0.0,0.0,0.0049836,0.560062555556,0.0,0.0250892,0.0395297241379,0.0,0.8668017931029999,0.0,-2.1514689,0.0,0.31896230000000003,0.291339607143,0.0,0.0,0.0,0.0103065,0.00808725,4.94776119403e-05,0.0109194285714,0.009519,0.0,0.9827991,0.0,0.0,0.9308735,-0.0017836666666700004,-0.0067512,0.0,0.0,0.00144457142857,6.51578947368e-05,3.36437540741,0.0,8.3164556962e-05,0.0,0.0106624444444,0.0,0.00641763636364,0.009427619047620002,0.047981,0.429633976744,0.0,1.6876366000000005,-0.0103577586207,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,3.29278174923,2.536,AW,CA,0.8086613114300001,3.38028169014,NEUTRAL,GAIN,NEUTRAL,1.0
ABAT,T47D,-0.0377775833333,0.0,1.9102364545500001,0.0,0.0,0.010243571428600001,0.6104086,0.0,0.0,0.0025,0.460582777778,0.0,0.0297192,0.163578689655,0.0,0.990148448276,0.0,-2.1225209,0.0,0.598534166667,0.492736821429,0.0,0.0,0.0,0.009440100000000002,0.00957975,4.48358208955e-05,0.0107376190476,0.0126595,0.0,1.05474315,0.0,0.0,1.25028525,-0.0021333333333299997,-0.0083661,0.0,0.0,0.0025624285714299995,-5.14210526316e-05,3.34263544444,0.0,9.84810126582e-05,0.0,0.0,0.0,0.00760190909091,0.0094099047619,0.0,0.9424875813950001,0.0,1.68559344,0.129143793103,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,3.29278174923,8.672,AW,CA,0.8086613114300001,3.38028169014,NEUTRAL,GAIN,NEUTRAL,1.0
ABCA1,BT-549,0.0277658333333,0.0,1.2741416060600002,0.0,0.0,0.007900666666670001,0.174623266667,0.0,0.0,0.0033529000000000002,0.38631838888899994,0.0,0.0236298,0.0,0.0,0.897302896552,0.0,-2.1493908,0.0,0.38879236666699996,0.393211428571,0.0,0.0,0.0,0.0105795,0.0076170000000000005,5.09402985075e-05,0.010976761904799999,0.008529,0.0,1.02356635,0.0,0.0,1.08561725,-0.0016733333333299998,0.0017065000000000001,0.0,0.0,0.002315,6.13684210526e-05,-0.608979185185,0.0,7.82911392405e-05,0.0,0.0106884444444,0.0,0.006044272727270001,0.00943333333333,0.048098,0.0110752325581,0.0,0.84593156,0.00859434482759,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.29278174923,2.286,BF,NO,-1.17804470114,0.165876777251,NEUTRAL,LOSS,UPREG,1.0
ABCA1,HS-578-T,0.02587025,0.0,1.2741755454500001,0.0,0.0,0.00840480952381,0.0878822666667,0.0,0.0,0.0025,0.370284444444,0.0,0.024940200000000003,0.0,0.0,1.07954041379,0.0,1.6732543999999998,0.0,0.7987375333329999,0.663334214286,0.0,0.0,0.0,0.0103341,0.00803925,4.96268656716e-05,0.010925238095200001,0.009418000000000001,0.0,-0.9201396000000001,0.0,0.0,0.08275725,-0.0017724,-2.0983375,0.0,0.0,0.00215042857143,-4.31578947368e-05,-0.71443,0.0,8.26582278481e-05,0.0,0.010665111111099999,0.0,0.00637954545455,0.00942819047619,0.047993,0.46935658139499997,0.0,0.84795988,-0.006044137931029999,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.29278174923,2.286,BF,NO,-1.17804470114,0.165876777251,NEUTRAL,LOSS,UPREG,1.0
ABCA1,MCF7,0.013892833333299999,0.0,1.9104796060599998,0.0,0.0,0.0102124761905,0.653826933333,0.0,0.0,0.0025,0.45929813888899995,0.0,0.0296382,0.0,0.0,1.01786482759,0.0,1.7506297999999998,0.0,0.661012566667,0.494963035714,0.0,0.0,0.0,0.009455400000000001,0.0095535,4.49104477612e-05,0.010740761904799999,0.012605,0.0,-0.90041945,0.0,0.0,1.493962,-0.00212726666667,-0.0083381,0.0,0.0,0.00170642857143,-5.13157894737e-05,-0.777777777778,0.0,9.82278481013e-05,0.0,0.0105811111111,0.0,0.00758127272727,0.009410285714290001,0.047615,-0.0477714883721,0.0,1.68591416,0.011880931034500001,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.29278174923,2.286,BF,NO,-1.17804470114,0.165876777251,NEUTRAL,LOSS,UPREG,1.0
ABCA1,MDA-MB-231,0.029240166666700002,0.0,1.2741751515200002,0.0,0.0,0.00846214285714,0.3258198,0.0,0.0,0.00641145,0.531533083333,0.0,0.0250892,0.0,0.0,0.8668017931029999,0.0,-2.150517,0.0,0.3208661,0.667595821429,0.0,0.0,0.0,0.0103065,0.00808725,4.94776119403e-05,0.0109194285714,0.009519,0.0,1.0024912,0.0,0.0,1.07115475,-0.0017836666666700004,-1.8087359,0.0,0.0,0.00144457142857,-4.34210526316e-05,-0.777777777778,0.0,8.3164556962e-05,0.0,0.0106624444444,0.0,0.00641763636364,0.009427619047620002,0.047981,0.0110410465116,0.0,0.84597988,-0.0103577586207,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.29278174923,2.286,BF,NO,-1.17804470114,0.165876777251,NEUTRAL,LOSS,UPREG,1.0
ABCA1,T47D,0.01367925,0.0,1.27416278788,0.0,0.0,0.010243571428600001,0.6104086,0.0,0.0,0.0025,0.226607055556,0.0,0.0297192,0.163578689655,0.0,0.990148448276,0.0,-1.8695567,0.281071222222,0.598534166667,0.6941523214290001,0.0,0.0,0.0,0.009440100000000002,0.00957975,4.48358208955e-05,0.0107376190476,0.0126595,0.0,1.1812252,0.0,0.0,1.25028525,-0.0021333333333299997,0.0015019999999999999,0.0,0.0,0.00171114285714,-5.14210526316e-05,-0.777777777778,0.0,9.84810126582e-05,0.0,0.0,0.0,0.00760190909091,0.0094099047619,0.0,-0.0342566046512,0.0,0.84795224,0.00410493103448,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,3.29278174923,2.292,BF,NO,-1.17804470114,0.165876777251,NEUTRAL,LOSS,UPREG,1.0
ABCB11,BT-549,-0.0007639999999999999,0.0359416,1.2741416060600002,0.0,0.0,0.007900666666670001,0.19472379999999997,0.0,0.0,1.545e-05,0.277604583333,0.0,0.0236298,0.0,0.0,0.897302862069,0.0,1.8805281000000005,0.0,0.387086566667,0.555981571429,0.0,0.0,0.0,0.0105795,0.0076170000000000005,5.09402985075e-05,0.010976761904799999,0.008529,0.0,-0.94362505,0.0,0.0,0.84251225,-0.0016733333333299998,-2.0982935,0.0,0.0,0.002315,6.13684210526e-05,-0.777777777778,0.0,7.82911392405e-05,0.0,0.0106884444444,0.0,0.006044272727270001,0.00943333333333,0.048098,0.0110752325581,0.0,0.84593156,0.0703110344828,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,3.29278174923,2.286,AB,SC,-2.61249810121,0.307692307692,DOWNREG,LOSS,DOWNREG,1.0
ABCB11,HS-578-T,0.02587025,0.0,1.2741360000000002,0.0,0.0,0.00840480952381,0.0878822,0.0,0.0,0.0025,0.370285833333,0.0,0.024940200000000003,0.0,0.0,1.07954041379,0.0,1.6732543999999998,0.0,0.7987375333329999,0.720574678571,0.0,0.0,0.0,0.0103341,0.00803925,4.96268656716e-05,0.010925238095200001,0.009418000000000001,0.0,-0.9201396000000001,0.0,0.0,0.08275725,-0.0017724,-2.0983375,0.0,0.0,0.00215042857143,-4.31578947368e-05,-0.773790481481,0.0,8.26582278481e-05,0.0,0.010665111111099999,0.0,0.00637954545455,0.00942819047619,0.047993,-0.0190155116279,0.0,0.84790764,-0.006044137931029999,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,3.29278174923,2.286,AB,SC,-2.61249810121,0.307692307692,DOWNREG,LOSS,DOWNREG,1.0
